id,user_id,tracking_number,courier_service,origin,destination,status,delivered_at,expected_delivery_date,received_at,category,created_at,updated_at
33,607,TRK540087247,Pos Malaysia,Istanbul,Beijing,Received,2023-06-02 00:00:00,2023-07-10 00:00:00,2023-07-15 00:00:00,Fragile,2023-05-25 00:00:00,2023-06-17 00:00:00
34,811,TRK143099886,DPD,Berlin,Abu Dhabi,Pending,,,,Fragile,2022-10-01 00:00:00,2022-11-13 00:00:00
35,283,TRK878985613,Saudi Post,Doha,Dubai,Cancelled,,,,Non-Fragile,2023-01-28 00:00:00,2023-02-07 00:00:00
36,633,TRK361543261,Fetchr,Osaka,Rome,Delivered,2023-10-10 00:00:00,2023-11-15 00:00:00,,Fragile,2023-10-03 00:00:00,2023-10-10 00:00:00
37,462,TRK350022653,Lalamove,Copenhagen,Nairobi,Received,2023-02-02 00:00:00,2023-03-31 00:00:00,2023-04-11 00:00:00,Fragile,2023-01-26 00:00:00,2023-02-27 00:00:00
38,128,TRK504867600,DHL,Geneva,Zarqa,Received,2024-03-05 00:00:00,2024-04-05 00:00:00,2024-04-17 00:00:00,Fragile,2024-02-24 00:00:00,2024-03-30 00:00:00
39,237,TRK769694484,Skynet,Zurich,Singapore,Received,2024-07-11 00:00:00,2024-08-17 00:00:00,2024-08-20 00:00:00,Non-Fragile,2024-07-04 00:00:00,2024-07-22 00:00:00
40,449,TRK204382579,Saudi Post,Zarqa,Abu Dhabi,Cancelled,,,,Heavy,2023-12-10 00:00:00,2023-12-19 00:00:00
41,124,TRK277439657,La Poste,Muscat,Amman,Delivered,2024-05-23 00:00:00,2024-07-11 00:00:00,,Non-Fragile,2024-05-12 00:00:00,2024-05-23 00:00:00
42,182,TRK759706008,PostaPlus,Casablanca,Copenhagen,Cancelled,,,,Perishable,2024-02-18 00:00:00,2024-02-21 00:00:00
43,83,TRK210378649,SF Express,Tokyo,Cairo,Cancelled,,,,Non-Fragile,2022-09-06 00:00:00,2022-09-09 00:00:00
44,220,TRK662868417,Kerry Express,Oslo,Frankfurt,Delayed,2023-03-26 00:00:00,2023-04-20 00:00:00,2023-04-21 00:00:00,Perishable,2023-03-19 00:00:00,2023-03-31 00:00:00
45,146,TRK643341454,Noon Express,Casablanca,Tokyo,Pending,,,,Heavy,2023-03-16 00:00:00,2023-04-06 00:00:00
46,847,TRK177212133,Naqel Express,Karachi,Osaka,Cancelled,,,,Non-Fragile,2023-11-14 00:00:00,2023-11-15 00:00:00
47,115,TRK470445158,Quiqup,Zarqa,New York,Delivered,2024-01-21 00:00:00,2024-03-06 00:00:00,,Perishable,2024-01-11 00:00:00,2024-02-08 00:00:00
48,805,TRK748260649,Cainiao,Zarqa,Istanbul,Delayed,2023-06-04 00:00:00,2023-06-26 00:00:00,2023-06-26 00:00:00,Non-Fragile,2023-05-20 00:00:00,2023-07-01 00:00:00
49,917,TRK907455236,Sicepat,Rome,Zurich,Received,2023-12-30 00:00:00,2024-02-13 00:00:00,2024-02-24 00:00:00,Perishable,2023-12-16 00:00:00,2024-01-14 00:00:00
50,951,TRK467509131,Qxpress,Geneva,Tokyo,Cancelled,,,,Non-Fragile,2022-09-23 00:00:00,2022-09-23 00:00:00
51,159,TRK243200271,Skynet,Osaka,New York,Cancelled,,,,Non-Fragile,2023-02-07 00:00:00,2023-02-07 00:00:00
52,452,TRK076364764,EMS,Baghdad,Delhi,Received,2023-10-15 00:00:00,2023-11-10 00:00:00,2023-11-12 00:00:00,Non-Fragile,2023-10-07 00:00:00,2023-11-11 00:00:00
53,292,TRK954220475,Cainiao,Toronto,Toronto,Cancelled,,,,Perishable,2024-03-02 00:00:00,2024-03-03 00:00:00
54,563,TRK587979926,Hermes,Nairobi,Bengaluru,Cancelled,,,,Perishable,2023-04-02 00:00:00,2023-04-10 00:00:00
55,229,TRK791604878,Ekart,Muscat,Tokyo,Received,2024-06-27 00:00:00,2024-08-14 00:00:00,2024-08-27 00:00:00,Heavy,2024-06-21 00:00:00,2024-07-25 00:00:00
56,579,TRK145599455,La Poste,Toronto,Abu Dhabi,Pending,,,,Heavy,2023-11-30 00:00:00,2023-12-05 00:00:00
57,102,TRK709484885,Ninja Van,Karachi,Osaka,Cancelled,,,,Perishable,2024-07-22 00:00:00,2024-07-23 00:00:00
58,795,TRK164735531,TNT,Shanghai,Bengaluru,Received,2024-05-08 00:00:00,2024-06-02 00:00:00,2024-06-15 00:00:00,Fragile,2024-04-26 00:00:00,2024-05-10 00:00:00
59,226,TRK120252745,Pos Malaysia,New York,Manila,Pending,,,,Heavy,2023-06-19 00:00:00,2023-06-29 00:00:00
60,361,TRK139403739,DTDC,Doha,Manama,Pending,,,,Fragile,2023-02-02 00:00:00,2023-03-02 00:00:00
61,523,TRK772524824,DHL eCommerce,Rome,Kuwait City,Cancelled,,,,Heavy,2023-06-11 00:00:00,2023-06-21 00:00:00
62,844,TRK507317870,Ninja Xpress,Johannesburg,Manama,Cancelled,,,,Fragile,2023-09-12 00:00:00,2023-09-19 00:00:00
63,434,TRK205376575,Lalamove,Johannesburg,Casablanca,Delayed,2023-04-05 00:00:00,2023-05-13 00:00:00,2023-05-22 00:00:00,Fragile,2023-03-25 00:00:00,2023-04-27 00:00:00
64,962,TRK260341165,PostNL,Baghdad,Brussels,Pending,,,,Perishable,2024-04-19 00:00:00,2024-04-24 00:00:00
65,54,TRK499618433,Correos,Dubai,Tokyo,Cancelled,,,,Heavy,2023-12-18 00:00:00,2023-12-20 00:00:00
66,748,TRK751411324,Aramex,Jakarta,London,Cancelled,,,,Fragile,2023-10-29 00:00:00,2023-11-03 00:00:00
67,123,TRK120327856,Toll Group,Brussels,Muscat,Cancelled,,,,Perishable,2022-10-24 00:00:00,2022-11-01 00:00:00
68,678,TRK316139083,DHL,Tunis,Cairo,Delivered,2023-05-29 00:00:00,2023-07-24 00:00:00,,Heavy,2023-05-24 00:00:00,2023-06-19 00:00:00
69,804,TRK194771269,Blue Dart,Mexico City,Sydney,Cancelled,,,,Heavy,2023-12-19 00:00:00,2023-12-25 00:00:00
70,747,TRK408529260,PostaPlus,Muscat,Dubai,Cancelled,,,,Non-Fragile,2022-10-01 00:00:00,2022-10-04 00:00:00
71,503,TRK648122059,SF Express,Madrid,Zurich,Received,2024-07-29 00:00:00,2024-08-06 00:00:00,2024-08-07 00:00:00,Perishable,2024-07-24 00:00:00,2024-08-27 00:00:00
72,752,TRK417299867,TNT,Mumbai,Amsterdam,Cancelled,,,,Perishable,2023-06-13 00:00:00,2023-06-22 00:00:00
73,125,TRK747171408,Aramex,Melbourne,Buenos Aires,Received,2024-02-17 00:00:00,2024-02-24 00:00:00,2024-03-05 00:00:00,Fragile,2024-02-09 00:00:00,2024-03-16 00:00:00
74,321,TRK017144577,Quiqup,Manama,Berlin,Delayed,2024-03-13 00:00:00,2024-03-27 00:00:00,2024-04-06 00:00:00,Perishable,2024-03-08 00:00:00,2024-04-09 00:00:00
75,249,TRK697784468,CityLink,Muscat,Shanghai,Cancelled,,,,Non-Fragile,2022-10-04 00:00:00,2022-10-04 00:00:00
76,388,TRK625099474,Yanwen,Mumbai,Kuwait City,Delivered,2023-03-20 00:00:00,2023-05-09 00:00:00,,Perishable,2023-03-16 00:00:00,2023-04-13 00:00:00
77,536,TRK974024121,J&T Express,Istanbul,New York,Cancelled,,,,Perishable,2023-12-11 00:00:00,2023-12-11 00:00:00
78,137,TRK505592747,Ninja Van,Mexico City,Berlin,Delayed,2023-05-05 00:00:00,2023-06-30 00:00:00,2023-07-09 00:00:00,Non-Fragile,2023-05-01 00:00:00,2023-06-02 00:00:00
79,101,TRK883837245,Shopee Xpress,Manila,Singapore,Pending,,,,Perishable,2024-07-07 00:00:00,2024-07-25 00:00:00
80,973,TRK232008357,Kerry Express,Beijing,Jakarta,Delayed,2023-01-30 00:00:00,2023-03-08 00:00:00,2023-03-07 00:00:00,Non-Fragile,2023-01-20 00:00:00,2023-02-13 00:00:00
81,525,TRK133244949,Sendle,Abu Dhabi,Rome,Delivered,2023-05-17 00:00:00,2023-05-31 00:00:00,,Perishable,2023-05-06 00:00:00,2023-06-03 00:00:00
82,603,TRK417158307,Gati,Tunis,Karachi,Received,2023-06-26 00:00:00,2023-07-04 00:00:00,2023-07-08 00:00:00,Non-Fragile,2023-06-16 00:00:00,2023-07-26 00:00:00
83,290,TRK321261380,NZ Post,Frankfurt,Jeddah,Received,2023-07-24 00:00:00,2023-09-07 00:00:00,2023-09-14 00:00:00,Perishable,2023-07-09 00:00:00,2023-08-13 00:00:00
84,828,TRK261466426,Korea Post,Madrid,Sharjah,Delivered,2024-07-15 00:00:00,2024-08-12 00:00:00,,Perishable,2024-07-10 00:00:00,2024-08-11 00:00:00
85,213,TRK789691735,Sicepat,Geneva,Dubai,Delivered,2024-04-26 00:00:00,2024-05-24 00:00:00,,Perishable,2024-04-12 00:00:00,2024-05-10 00:00:00
86,837,TRK654646571,iMile,Shanghai,Shanghai,Received,2024-01-28 00:00:00,2024-03-19 00:00:00,2024-03-31 00:00:00,Perishable,2024-01-19 00:00:00,2024-02-23 00:00:00
87,929,TRK993649722,PostNL,São Paulo,Zarqa,Delivered,2024-03-16 00:00:00,2024-03-28 00:00:00,,Fragile,2024-03-08 00:00:00,2024-03-20 00:00:00
88,436,TRK206304513,Ekart,Amsterdam,Helsinki,Received,2023-02-05 00:00:00,2023-03-12 00:00:00,2023-03-14 00:00:00,Perishable,2023-01-30 00:00:00,2023-02-15 00:00:00
89,396,TRK125890756,PostaPlus,Zarqa,Paris,Delayed,2023-01-06 00:00:00,2023-02-12 00:00:00,2023-02-12 00:00:00,Fragile,2022-12-30 00:00:00,2023-02-02 00:00:00
90,449,TRK251461432,JNE Express,Beijing,Frankfurt,Received,2022-09-02 00:00:00,2022-10-20 00:00:00,2022-10-21 00:00:00,Non-Fragile,2022-08-30 00:00:00,2022-09-19 00:00:00
91,523,TRK011582472,Noon Express,Oslo,Tokyo,Cancelled,,,,Perishable,2024-04-11 00:00:00,2024-04-11 00:00:00
92,746,TRK849338851,SMSA Express,Muscat,Dubai,Cancelled,,,,Heavy,2024-01-15 00:00:00,2024-01-16 00:00:00
93,403,TRK019398005,Japan Post,Sydney,Tokyo,Cancelled,,,,Non-Fragile,2023-10-01 00:00:00,2023-10-04 00:00:00
94,308,TRK827657953,Yodel,Beirut,Dubai,Received,2024-02-17 00:00:00,2024-04-02 00:00:00,2024-04-13 00:00:00,Fragile,2024-02-07 00:00:00,2024-03-04 00:00:00
95,751,TRK398505237,DTDC,Manama,Shanghai,Cancelled,,,,Heavy,2023-02-11 00:00:00,2023-02-14 00:00:00
96,659,TRK105141995,Korea Post,Tunis,London,Received,2023-08-24 00:00:00,2023-10-14 00:00:00,2023-10-19 00:00:00,Non-Fragile,2023-08-21 00:00:00,2023-08-25 00:00:00
97,696,TRK729585032,USPS,Johannesburg,Amsterdam,Delayed,2023-01-01 00:00:00,2023-02-04 00:00:00,2023-02-18 00:00:00,Heavy,2022-12-28 00:00:00,2023-01-28 00:00:00
98,107,TRK215573727,Royal Mail,Buenos Aires,São Paulo,Delayed,2023-03-16 00:00:00,2023-04-19 00:00:00,2023-05-02 00:00:00,Fragile,2023-03-05 00:00:00,2023-04-01 00:00:00
99,100,TRK598457826,Quiqup,Johannesburg,Jakarta,Delivered,2023-10-20 00:00:00,2023-11-13 00:00:00,,Heavy,2023-10-15 00:00:00,2023-11-11 00:00:00
100,807,TRK172235038,DHL Express,Zurich,Melbourne,Pending,,,,Non-Fragile,2024-02-26 00:00:00,2024-03-16 00:00:00
101,621,TRK524839616,Shopee Xpress,Jeddah,Helsinki,Delayed,2023-06-27 00:00:00,2023-07-12 00:00:00,2023-07-13 00:00:00,Heavy,2023-06-22 00:00:00,2023-07-24 00:00:00
102,328,TRK530263407,Quiqup,Oslo,Karachi,Delivered,2023-05-19 00:00:00,2023-06-25 00:00:00,,Perishable,2023-05-13 00:00:00,2023-06-18 00:00:00
103,29,TRK935805325,Hermes,Berlin,Bangkok,Pending,,,,Fragile,2023-11-16 00:00:00,2023-11-20 00:00:00
104,265,TRK013558327,Japan Post,Amsterdam,Sharjah,Delivered,2023-08-15 00:00:00,2023-09-13 00:00:00,,Heavy,2023-07-31 00:00:00,2023-08-27 00:00:00
105,217,TRK942879488,DHL Express,Kuwait City,Nairobi,Delayed,2024-07-15 00:00:00,2024-09-04 00:00:00,2024-09-02 00:00:00,Perishable,2024-06-30 00:00:00,2024-08-04 00:00:00
106,778,TRK990353387,Gati,Irbid,Mumbai,Pending,,,,Fragile,2023-07-01 00:00:00,2023-07-12 00:00:00
107,796,TRK751668217,Australia Post,Delhi,Irbid,Cancelled,,,,Perishable,2023-02-02 00:00:00,2023-02-07 00:00:00
108,330,TRK892899028,Cainiao,Vienna,Geneva,Delayed,2023-06-15 00:00:00,2023-07-05 00:00:00,2023-07-04 00:00:00,Non-Fragile,2023-06-08 00:00:00,2023-07-07 00:00:00
109,467,TRK228870317,Skynet,London,Sydney,Delayed,2022-12-12 00:00:00,2023-01-01 00:00:00,2023-01-11 00:00:00,Non-Fragile,2022-12-02 00:00:00,2022-12-13 00:00:00
110,605,TRK191145364,Qxpress,Berlin,Baghdad,Pending,,,,Non-Fragile,2023-05-11 00:00:00,2023-06-27 00:00:00
111,162,TRK215474520,Cainiao,Toronto,Stockholm,Cancelled,,,,Heavy,2023-01-09 00:00:00,2023-01-14 00:00:00
112,495,TRK445090752,EMS,Seoul,Geneva,Delivered,2023-10-25 00:00:00,2023-11-20 00:00:00,,Fragile,2023-10-22 00:00:00,2023-11-01 00:00:00
113,862,TRK777088919,JNE Express,Zurich,Dubai,Cancelled,,,,Fragile,2024-05-01 00:00:00,2024-05-11 00:00:00
114,663,TRK480621973,CityLink,Buenos Aires,Singapore,Pending,,,,Fragile,2024-01-21 00:00:00,2024-02-26 00:00:00
115,179,TRK486067867,Japan Post,Jeddah,Casablanca,Delivered,2024-03-08 00:00:00,2024-04-14 00:00:00,,Fragile,2024-02-25 00:00:00,2024-03-31 00:00:00
116,935,TRK013407671,Hermes,Berlin,Casablanca,Cancelled,,,,Fragile,2023-11-16 00:00:00,2023-11-17 00:00:00
117,283,TRK834371213,Pos Malaysia,Delhi,Amsterdam,Cancelled,,,,Non-Fragile,2023-09-24 00:00:00,2023-09-27 00:00:00
118,189,TRK756424614,Aramex,Beijing,Mumbai,Pending,,,,Perishable,2023-06-27 00:00:00,2023-08-06 00:00:00
119,325,TRK619339889,DHL,Manama,Berlin,Pending,,,,Fragile,2023-02-14 00:00:00,2023-02-26 00:00:00
120,454,TRK720949840,Toll Group,Istanbul,Sydney,Pending,,,,Non-Fragile,2024-01-12 00:00:00,2024-02-09 00:00:00
121,335,TRK277853226,DHL eCommerce,Karachi,Zarqa,Delayed,2023-08-10 00:00:00,2023-09-09 00:00:00,2023-09-10 00:00:00,Heavy,2023-08-02 00:00:00,2023-08-10 00:00:00
122,45,TRK644255072,Toll Group,Muscat,Jeddah,Received,2023-12-03 00:00:00,2024-01-15 00:00:00,2024-01-13 00:00:00,Perishable,2023-11-29 00:00:00,2023-12-06 00:00:00
123,46,TRK844430169,Australia Post,Zurich,Shanghai,Received,2023-05-17 00:00:00,2023-05-28 00:00:00,2023-06-01 00:00:00,Fragile,2023-05-02 00:00:00,2023-06-05 00:00:00
124,398,TRK828948585,Shopee Xpress,Beijing,Sydney,Delivered,2022-08-15 00:00:00,2022-08-31 00:00:00,,Heavy,2022-07-31 00:00:00,2022-09-04 00:00:00
125,72,TRK072457943,DTDC,Los Angeles,Jakarta,Received,2023-02-16 00:00:00,2023-03-13 00:00:00,2023-03-13 00:00:00,Fragile,2023-02-11 00:00:00,2023-03-14 00:00:00
126,142,TRK961345862,Correos,Delhi,Beirut,Cancelled,,,,Fragile,2022-08-06 00:00:00,2022-08-11 00:00:00
127,763,TRK916917363,Lalamove,Paris,Kuwait City,Delivered,2023-05-29 00:00:00,2023-06-29 00:00:00,,Perishable,2023-05-21 00:00:00,2023-06-18 00:00:00
128,322,TRK986007019,DTDC,Shanghai,Oslo,Received,2024-01-12 00:00:00,2024-03-08 00:00:00,2024-03-18 00:00:00,Fragile,2024-01-01 00:00:00,2024-01-13 00:00:00
129,132,TRK996902151,Naqel Express,Frankfurt,São Paulo,Cancelled,,,,Perishable,2024-05-13 00:00:00,2024-05-21 00:00:00
130,381,TRK265827474,Ninja Van,Sharjah,Dubai,Received,2024-03-16 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,Non-Fragile,2024-03-12 00:00:00,2024-03-22 00:00:00
131,917,TRK017843727,JNE Express,Beirut,Jakarta,Pending,,,,Fragile,2023-12-26 00:00:00,2024-02-14 00:00:00
132,267,TRK680447829,Noon Express,Istanbul,Jakarta,Received,2023-10-08 00:00:00,2023-11-25 00:00:00,2023-11-28 00:00:00,Perishable,2023-10-04 00:00:00,2023-10-30 00:00:00
133,497,TRK458877930,Toll Group,Nairobi,Osaka,Pending,,,,Perishable,2024-03-09 00:00:00,2024-05-08 00:00:00
134,284,TRK865023664,CityLink,London,Paris,Received,2023-11-26 00:00:00,2024-01-01 00:00:00,2024-01-08 00:00:00,Fragile,2023-11-12 00:00:00,2023-12-08 00:00:00
135,905,TRK611324599,DHL Express,Nairobi,Abu Dhabi,Delivered,2024-05-30 00:00:00,2024-07-26 00:00:00,,Fragile,2024-05-19 00:00:00,2024-06-01 00:00:00
136,950,TRK699348781,Delhivery,Dubai,Karachi,Received,2024-01-17 00:00:00,2024-02-17 00:00:00,2024-02-22 00:00:00,Perishable,2024-01-12 00:00:00,2024-01-29 00:00:00
137,307,TRK501965836,PostaPlus,Bangkok,Copenhagen,Cancelled,,,,Perishable,2024-02-24 00:00:00,2024-02-26 00:00:00
138,342,TRK007983614,India Post,Dubai,Mexico City,Cancelled,,,,Perishable,2022-11-25 00:00:00,2022-11-28 00:00:00
139,321,TRK518888344,La Poste,Buenos Aires,Berlin,Received,2022-12-29 00:00:00,2023-02-26 00:00:00,2023-03-06 00:00:00,Non-Fragile,2022-12-20 00:00:00,2023-01-03 00:00:00
140,243,TRK823369320,Parcelforce,Frankfurt,São Paulo,Cancelled,,,,Perishable,2023-10-31 00:00:00,2023-11-04 00:00:00
141,558,TRK738489881,Ninja Xpress,Abu Dhabi,Johannesburg,Delivered,2023-01-23 00:00:00,2023-02-21 00:00:00,,Heavy,2023-01-13 00:00:00,2023-02-13 00:00:00
142,157,TRK665905174,Gati,Tunis,Jeddah,Delivered,2023-06-25 00:00:00,2023-07-14 00:00:00,,Non-Fragile,2023-06-21 00:00:00,2023-07-05 00:00:00
143,805,TRK848029225,JNE Express,Copenhagen,Delhi,Pending,,,,Non-Fragile,2022-08-13 00:00:00,2022-10-09 00:00:00
144,466,TRK359582829,Delhivery,Manama,Tunis,Pending,,,,Fragile,2023-06-09 00:00:00,2023-07-17 00:00:00
145,657,TRK599140921,UPS,Singapore,Brussels,Delayed,2023-12-16 00:00:00,2024-01-26 00:00:00,2024-02-03 00:00:00,Perishable,2023-12-05 00:00:00,2024-01-02 00:00:00
146,124,TRK328826529,Shopee Xpress,Doha,Bangkok,Pending,,,,Non-Fragile,2024-08-09 00:00:00,2024-09-06 00:00:00
147,715,TRK859934329,DHL eCommerce,Muscat,Muscat,Delayed,2024-02-27 00:00:00,2024-04-25 00:00:00,2024-05-05 00:00:00,Non-Fragile,2024-02-12 00:00:00,2024-03-22 00:00:00
148,828,TRK912943692,Qxpress,Abu Dhabi,Amsterdam,Delayed,2024-01-06 00:00:00,2024-02-09 00:00:00,2024-02-19 00:00:00,Perishable,2023-12-27 00:00:00,2024-01-23 00:00:00
149,621,TRK105923500,Blue Dart,Los Angeles,New York,Delayed,2022-10-24 00:00:00,2022-12-10 00:00:00,2022-12-12 00:00:00,Non-Fragile,2022-10-13 00:00:00,2022-11-04 00:00:00
150,674,TRK965684370,MyUS,Baghdad,Cape Town,Cancelled,,,,Non-Fragile,2023-08-06 00:00:00,2023-08-07 00:00:00
151,77,TRK553871444,Canada Post,Rome,Beirut,Delayed,2023-04-27 00:00:00,2023-06-10 00:00:00,2023-06-09 00:00:00,Heavy,2023-04-21 00:00:00,2023-05-12 00:00:00
152,875,TRK573098651,Ninja Xpress,Mexico City,Amsterdam,Cancelled,,,,Non-Fragile,2022-09-30 00:00:00,2022-10-03 00:00:00
153,792,TRK854403124,Saudi Post,Hong Kong,Istanbul,Delayed,2024-05-17 00:00:00,2024-06-27 00:00:00,2024-07-10 00:00:00,Perishable,2024-05-06 00:00:00,2024-06-02 00:00:00
154,133,TRK376252866,Korea Post,Dubai,Sharjah,Delayed,2022-11-18 00:00:00,2022-12-05 00:00:00,2022-12-05 00:00:00,Fragile,2022-11-10 00:00:00,2022-12-12 00:00:00
155,551,TRK470220101,SMSA Express,São Paulo,Rome,Received,2024-04-23 00:00:00,2024-06-12 00:00:00,2024-06-11 00:00:00,Perishable,2024-04-18 00:00:00,2024-04-28 00:00:00
156,98,TRK358456517,MyUS,Bengaluru,Osaka,Received,2024-03-21 00:00:00,2024-05-08 00:00:00,2024-05-19 00:00:00,Non-Fragile,2024-03-16 00:00:00,2024-04-13 00:00:00
157,340,TRK411455891,Delhivery,Melbourne,Singapore,Cancelled,,,,Non-Fragile,2024-01-30 00:00:00,2024-02-03 00:00:00
158,28,TRK823640385,Saudi Post,Cairo,Amman,Delayed,2024-06-19 00:00:00,2024-08-14 00:00:00,2024-08-24 00:00:00,Heavy,2024-06-13 00:00:00,2024-07-12 00:00:00
159,10,TRK179892474,Barq Express,Rome,Vienna,Received,2023-01-19 00:00:00,2023-03-20 00:00:00,2023-03-30 00:00:00,Heavy,2023-01-07 00:00:00,2023-02-15 00:00:00
160,562,TRK150562669,Quiqup,Zarqa,Toronto,Delayed,2022-10-03 00:00:00,2022-10-27 00:00:00,2022-11-01 00:00:00,Fragile,2022-09-20 00:00:00,2022-10-12 00:00:00
161,836,TRK775208941,Sendle,Paris,Tunis,Delayed,2022-08-05 00:00:00,2022-10-03 00:00:00,2022-10-03 00:00:00,Perishable,2022-08-01 00:00:00,2022-08-11 00:00:00
162,590,TRK014655721,EMS,Bengaluru,Amman,Cancelled,,,,Non-Fragile,2023-06-27 00:00:00,2023-07-03 00:00:00
163,942,TRK024518089,4PX,Brussels,Jeddah,Cancelled,,,,Non-Fragile,2023-05-31 00:00:00,2023-06-04 00:00:00
